platform,subject,trial,correct,choice,key,rt,accuracy,outcome
mturk,02rwq76tp9lcye8vrl41llnh,1,2,1.0,38.0,3.809,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,2,2,2.0,39.0,0.21,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,3,2,2.0,39.0,0.494,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,4,2,2.0,39.0,2.104,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,5,2,0.0,37.0,1.329,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,6,2,1.0,38.0,1.257,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,7,2,0.0,37.0,0.23,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,8,2,2.0,39.0,0.069,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,9,2,2.0,39.0,0.813,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,10,2,2.0,39.0,0.642,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,11,2,2.0,39.0,0.532,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,12,2,2.0,39.0,0.557,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,13,2,0.0,37.0,1.101,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,14,2,1.0,38.0,0.974,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,15,2,1.0,38.0,0.681,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,16,0,2.0,39.0,0.434,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,17,0,1.0,38.0,0.61,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,18,0,2.0,39.0,0.668,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,19,0,1.0,38.0,0.41,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,20,0,1.0,38.0,0.359,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,21,0,2.0,39.0,0.051,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,22,0,1.0,38.0,0.097,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,23,0,1.0,38.0,0.24,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,24,0,0.0,37.0,0.063,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,25,0,0.0,37.0,0.306,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,26,0,1.0,38.0,0.008,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,27,0,2.0,39.0,0.157,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,28,0,1.0,38.0,1.048,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,29,0,1.0,38.0,0.677,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,30,0,1.0,38.0,0.144,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,31,2,1.0,38.0,0.472,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,32,2,1.0,38.0,0.464,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,33,2,0.0,37.0,1.01,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,34,2,2.0,39.0,1.213,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,35,2,1.0,38.0,0.961,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,36,2,2.0,39.0,0.606,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,37,2,1.0,38.0,0.274,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,38,2,2.0,39.0,0.146,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,39,2,2.0,39.0,0.409,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,40,2,0.0,37.0,1.625,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,41,2,2.0,39.0,0.8,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,42,2,1.0,38.0,2.52,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,43,2,2.0,39.0,1.088,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,44,2,0.0,37.0,0.847,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,45,2,0.0,37.0,0.623,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,46,0,1.0,38.0,0.852,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,47,0,0.0,37.0,0.771,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,48,0,2.0,39.0,0.608,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,49,0,0.0,37.0,0.55,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,50,0,2.0,39.0,0.549,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,51,0,2.0,39.0,0.657,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,52,0,1.0,38.0,0.858,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,53,0,1.0,38.0,1.345,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,54,0,1.0,38.0,0.493,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,55,0,2.0,39.0,1.027,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,56,0,1.0,38.0,0.428,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,57,0,2.0,39.0,0.795,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,58,0,1.0,38.0,0.748,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,59,0,1.0,38.0,0.328,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,60,0,0.0,37.0,0.544,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,61,2,0.0,37.0,0.261,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,62,2,1.0,38.0,0.387,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,63,2,1.0,38.0,0.686,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,64,2,2.0,39.0,0.488,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,65,2,1.0,38.0,0.425,0.0,0.0
